"effect","group","term","estimate","std.error","statistic","matching","outcome","n_treated","n_comparison","data","category","indicator","exposure","step"
"fixed",NA,"int_invol_sum_CLE_1",0.028113256719912,0.0390729221764694,0.719507401902038,TRUE,"DY_forest_share",153,112,"Long-term","Count (sum)"," CLE","Involved",1
"fixed",NA,"int_invol_sum_EE_1",0.0776994588518455,0.0309052339113435,2.51411974666616,TRUE,"DY_forest_share",213,163,"Long-term","Count (sum)"," EE","Involved",1
"fixed",NA,"int_invol_sum_FE_1",0.101323337159821,0.0741788074812608,1.36593375655732,TRUE,"DY_forest_share",54,40,"Long-term","Count (sum)"," FE","Involved",1
"fixed",NA,"int_invol_sum_NCLE_1",0.13842461590947,0.0501240745081988,2.76163933733735,TRUE,"DY_forest_share",99,79,"Long-term","Count (sum)"," NCLE","Involved",1
"fixed",NA,"int_invol_sum_NCLE_2",0.0376340850267958,0.0416050486673364,0.904555726582813,TRUE,"DY_forest_share",59,47,"Long-term","Count (sum)"," NCLE","Involved",2
"fixed",NA,"int_invol_sum_NCLE_3",-0.0740146372084846,0.0552276654123109,-1.34017320225138,TRUE,"DY_forest_share",16,15,"Long-term","Count (sum)"," NCLE","Involved",3
"fixed",NA,"int_invol_sum_NCLE_4",0.0446816255970842,0.0804615643203393,0.555316392050179,TRUE,"DY_forest_share",13,12,"Long-term","Count (sum)"," NCLE","Involved",4
"fixed",NA,"int_invol_sum_NCLE_5",0.0286495396147593,0.0719299907355099,0.398297557413917,TRUE,"DY_forest_share",10,10,"Long-term","Count (sum)"," NCLE","Involved",5
"fixed",NA,"int_invol_sum_RFAC_1",0.111238888188073,0.103579705054518,1.07394482470793,TRUE,"DY_forest_share",31,27,"Long-term","Count (sum)"," RFAC","Involved",1
"fixed",NA,"int_invol_sum_TC_1",0.0857213532973018,0.0275353943622856,3.11313330651664,TRUE,"DY_forest_share",118,82,"Long-term","Count (sum)"," TC","Involved",1
"fixed",NA,"int_invol_sum_OI_1",0.0122213666387056,0.0404820296110141,0.301896094542169,TRUE,"DY_forest_share",128,91,"Long-term","Count (sum)"," OI","Involved",1
"fixed",NA,"int_invol_sum_OI_2",0.0455945601160639,0.0552247539494939,0.825618166769247,TRUE,"DY_forest_share",41,32,"Long-term","Count (sum)"," OI","Involved",2
"fixed",NA,"int_chnge_sum_CLE_1",0.0782454281563531,0.0760405386680028,1.02899623709896,TRUE,"DY_forest_share",53,43,"Long-term","Count (sum)"," CLE","Changed behavior",1
"fixed",NA,"int_chnge_sum_EE_1",0.0968014164817058,0.0562726349532859,1.72022185494005,TRUE,"DY_forest_share",53,46,"Long-term","Count (sum)"," EE","Changed behavior",1
"fixed",NA,"int_chnge_sum_FE_1",0.253754423737561,0.102627111548756,2.47258662850516,TRUE,"DY_forest_share",20,17,"Long-term","Count (sum)"," FE","Changed behavior",1
"fixed",NA,"int_chnge_sum_NCLE_1",0.190623101192219,0.0546070023185468,3.49081790060971,TRUE,"DY_forest_share",75,66,"Long-term","Count (sum)"," NCLE","Changed behavior",1
"fixed",NA,"int_chnge_sum_NCLE_2",0.0837688141557502,0.0451405297185326,1.85573396409123,TRUE,"DY_forest_share",5,5,"Long-term","Count (sum)"," NCLE","Changed behavior",2
"fixed",NA,"int_chnge_sum_RFAC_1",0.0786259369625063,0.142555321510921,0.55154683900371,TRUE,"DY_forest_share",13,11,"Long-term","Count (sum)"," RFAC","Changed behavior",1
"fixed",NA,"int_chnge_sum_TC_1",0.106024950742549,0.112937773721385,0.938790869068397,TRUE,"DY_forest_share",17,17,"Long-term","Count (sum)"," TC","Changed behavior",1
"fixed",NA,"int_chnge_sum_OI_1",0.113302408009396,0.056534976330909,2.0041117085858,TRUE,"DY_forest_share",45,40,"Long-term","Count (sum)"," OI","Changed behavior",1
"fixed",NA,"int_cat_tot_availALL_1",-0.0746549906207765,0.0272210172818778,-2.74254962067408,TRUE,"DY_forest_share",386,191,"Long-term","Count (sum)","Total","Available",1
"fixed",NA,"int_cat_tot_availALL_2",0.0270546908492634,0.0317402195159871,0.852378819738042,TRUE,"DY_forest_share",241,161,"Long-term","Count (sum)","Total","Available",2
"fixed",NA,"int_cat_tot_availALL_3",-0.0439626718126607,0.0387789970227605,-1.13367222434499,TRUE,"DY_forest_share",161,116,"Long-term","Count (sum)","Total","Available",3
"fixed",NA,"int_cat_tot_availALL_4",-0.0346273825394722,0.0406952801869032,-0.850894314535673,TRUE,"DY_forest_share",179,114,"Long-term","Count (sum)","Total","Available",4
"fixed",NA,"int_cat_tot_availALL_5",0.00745232795835612,0.0304291005981309,0.244907927341562,TRUE,"DY_forest_share",193,159,"Long-term","Count (sum)","Total","Available",5
"fixed",NA,"int_cat_tot_availALL_6",0.0522038925031098,0.0301944251265013,1.72892486889214,TRUE,"DY_forest_share",291,131,"Long-term","Count (sum)","Total","Available",6
"fixed",NA,"int_cat_tot_availALL_7",0.0310807645651986,0.0326865372102017,0.950873577256697,TRUE,"DY_forest_share",210,89,"Long-term","Count (sum)","Total","Available",7
"fixed",NA,"int_cat_tot_availALL_8",0.0641995607984841,0.0396773290916263,1.61804139210654,TRUE,"DY_forest_share",145,74,"Long-term","Count (sum)","Total","Available",8
"fixed",NA,"int_cat_pos_availALL_1",-0.000397208691547147,0.0301721689186242,-0.0131647377627521,TRUE,"DY_forest_share",374,160,"Long-term","Count (sum)","Positive","Available",1
"fixed",NA,"int_cat_pos_availALL_2",-0.0310267258073074,0.0258029883097376,-1.2024469970247,TRUE,"DY_forest_share",401,190,"Long-term","Count (sum)","Positive","Available",2
"fixed",NA,"int_cat_pos_availALL_3",0.072412328824675,0.0274467438463321,2.63828486286368,TRUE,"DY_forest_share",242,162,"Long-term","Count (sum)","Positive","Available",3
"fixed",NA,"int_cat_pos_availALL_4",0.0131537376988652,0.0420411699146757,0.312877537079992,TRUE,"DY_forest_share",40,36,"Long-term","Count (sum)","Positive","Available",4
"fixed",NA,"int_cat_pos_availALL_6",-0.13280928273736,0.0891225731337593,-1.49018680753341,TRUE,"DY_forest_share",168,33,"Long-term","Count (sum)","Positive","Available",6
"fixed",NA,"int_cat_ena_availALL_1",0.0104027768182428,0.0263161417691719,0.395300227118748,TRUE,"DY_forest_share",437,212,"Long-term","Count (sum)","Enabling","Available",1
"fixed",NA,"int_cat_ena_availALL_2",-0.0562078884893843,0.0332938883385909,-1.68823442662399,TRUE,"DY_forest_share",312,166,"Long-term","Count (sum)","Enabling","Available",2
"fixed",NA,"int_cat_ena_availALL_3",0.0557803343771029,0.0288424833084412,1.93396434629392,TRUE,"DY_forest_share",276,125,"Long-term","Count (sum)","Enabling","Available",3
"fixed",NA,"int_cat_ena_availALL_4",0.348022769817868,0.0745065380531667,4.67103664875054,TRUE,"DY_forest_share",113,33,"Long-term","Count (sum)","Enabling","Available",4
"fixed",NA,"int_cat_neg_availALL_1",0.0280298624238034,0.0275462184338038,1.01755754573579,TRUE,"DY_forest_share",440,135,"Long-term","Count (sum)","Negative","Available",1
"fixed",NA,"int_cat_neg_availALL_2",0.0614240973094654,0.0646790862382403,0.949674784878912,TRUE,"DY_forest_share",217,55,"Long-term","Count (sum)","Negative","Available",2
"fixed",NA,"int_cat_tot_involALL_1",-0.0069663433971121,0.0197093725332233,-0.353453332183417,TRUE,"DY_forest_share",470,282,"Long-term","Count (sum)","Total","Involved",1
"fixed",NA,"int_cat_tot_involALL_2",-0.00201064435620766,0.0268128660500539,-0.0749880431451908,TRUE,"DY_forest_share",273,207,"Long-term","Count (sum)","Total","Involved",2
"fixed",NA,"int_cat_tot_involALL_3",0.0319360611299207,0.0269629449154692,1.18444262042008,TRUE,"DY_forest_share",204,162,"Long-term","Count (sum)","Total","Involved",3
"fixed",NA,"int_cat_tot_involALL_4",0.00416046932741136,0.0333330223562932,0.124815244262598,TRUE,"DY_forest_share",110,99,"Long-term","Count (sum)","Total","Involved",4
"fixed",NA,"int_cat_tot_involALL_5",0.119511175609619,0.0452214325572193,2.6427994172542,TRUE,"DY_forest_share",73,64,"Long-term","Count (sum)","Total","Involved",5
"fixed",NA,"int_cat_tot_involALL_6",0.0989570090242299,0.0602814162382491,1.64158401045397,TRUE,"DY_forest_share",40,37,"Long-term","Count (sum)","Total","Involved",6
"fixed",NA,"int_cat_tot_involALL_7",0.0744379366813162,0.074166903623321,1.00365436663463,TRUE,"DY_forest_share",14,13,"Long-term","Count (sum)","Total","Involved",7
"fixed",NA,"int_cat_pos_involALL_1",0.0101888647852561,0.022579699437131,0.4512400536431,TRUE,"DY_forest_share",367,253,"Long-term","Count (sum)","Positive","Involved",1
"fixed",NA,"int_cat_pos_involALL_2",0.060251682032018,0.0383008860029755,1.57311457566118,TRUE,"DY_forest_share",141,124,"Long-term","Count (sum)","Positive","Involved",2
"fixed",NA,"int_cat_pos_involALL_3",0.0624656325371926,0.0364549107362621,1.71350392239631,TRUE,"DY_forest_share",83,65,"Long-term","Count (sum)","Positive","Involved",3
"fixed",NA,"int_cat_pos_involALL_4",0.0135945302052585,0.0536720628523949,0.253288759231134,TRUE,"DY_forest_share",32,32,"Long-term","Count (sum)","Positive","Involved",4
"fixed",NA,"int_cat_pos_involALL_5",0.0460853750417061,0.0633325611543676,0.727672688451316,TRUE,"DY_forest_share",16,14,"Long-term","Count (sum)","Positive","Involved",5
"fixed",NA,"int_cat_pos_involALL_6",0.0286495396147593,0.0719299907355099,0.398297557413917,TRUE,"DY_forest_share",10,10,"Long-term","Count (sum)","Positive","Involved",6
"fixed",NA,"int_cat_ena_involALL_1",0.00813426305390675,0.0219976514971254,0.369778703647965,TRUE,"DY_forest_share",434,274,"Long-term","Count (sum)","Enabling","Involved",1
"fixed",NA,"int_cat_ena_involALL_2",0.0301633320608212,0.0352039828924062,0.856815893616621,TRUE,"DY_forest_share",173,132,"Long-term","Count (sum)","Enabling","Involved",2
"fixed",NA,"int_cat_ena_involALL_3",0.114012097222856,0.054688669492727,2.08474805257456,TRUE,"DY_forest_share",57,51,"Long-term","Count (sum)","Enabling","Involved",3
"fixed",NA,"int_cat_neg_involALL_1",-0.0365092750052039,0.0303309931785951,-1.20369533533669,TRUE,"DY_forest_share",382,144,"Long-term","Count (sum)","Negative","Involved",1
"fixed",NA,"int_cat_neg_involALL_2",0.343905109264208,0.173868803992375,1.97795752525732,TRUE,"DY_forest_share",12,12,"Long-term","Count (sum)","Negative","Involved",2
"fixed",NA,"int_cat_tot_chngeALL_1",0.0141529184688109,0.0200046880461861,0.707480088474022,TRUE,"DY_forest_share",418,237,"Long-term","Count (sum)","Total","Changed behavior",1
"fixed",NA,"int_cat_tot_chngeALL_2",0.0297280663869977,0.0371506840171213,0.800202396631439,TRUE,"DY_forest_share",134,120,"Long-term","Count (sum)","Total","Changed behavior",2
"fixed",NA,"int_cat_tot_chngeALL_3",0.089934142009917,0.0583325487300766,1.54174888579052,TRUE,"DY_forest_share",36,36,"Long-term","Count (sum)","Total","Changed behavior",3
"fixed",NA,"int_cat_tot_chngeALL_4",0.165920358612248,0.132457554505788,1.2526303934216,TRUE,"DY_forest_share",9,9,"Long-term","Count (sum)","Total","Changed behavior",4
"fixed",NA,"int_cat_pos_chngeALL_1",0.00811965639817578,0.0284506438061948,0.28539446957639,TRUE,"DY_forest_share",199,158,"Long-term","Count (sum)","Positive","Changed behavior",1
"fixed",NA,"int_cat_pos_chngeALL_2",0.0474143964286172,0.0576665362643902,0.82221682625832,TRUE,"DY_forest_share",53,44,"Long-term","Count (sum)","Positive","Changed behavior",2
"fixed",NA,"int_cat_pos_chngeALL_3",0.00595031191010101,0.207025177247565,0.0287419723012023,TRUE,"DY_forest_share",7,7,"Long-term","Count (sum)","Positive","Changed behavior",3
"fixed",NA,"int_cat_ena_chngeALL_1",-0.000480438720481031,0.0351511793276896,-0.0136677838317241,TRUE,"DY_forest_share",153,134,"Long-term","Count (sum)","Enabling","Changed behavior",1
"fixed",NA,"int_cat_ena_chngeALL_2",0.167219622084896,0.0706455777716067,2.36702179187363,TRUE,"DY_forest_share",31,30,"Long-term","Count (sum)","Enabling","Changed behavior",2
"fixed",NA,"int_cat_ena_chngeALL_3",0.481514707759932,0.222512338636691,2.16399104296922,TRUE,"DY_forest_share",2,2,"Long-term","Count (sum)","Enabling","Changed behavior",3
"fixed",NA,"int_cat_neg_chngeALL_1",0.042135565982138,0.0234513808975123,1.79672003820498,TRUE,"DY_forest_share",266,156,"Long-term","Count (sum)","Negative","Changed behavior",1
"fixed",NA,"int_avail_bin_CLE_1",0.114183905399012,0.0542829337719169,2.10349547205359,TRUE,"post_clearing_any",233,145,"Short-term","Binary (any)"," CLE","Available",1
"fixed",NA,"int_avail_bin_EE_1",0.0197975019579928,0.0407368671152934,0.485984891817083,TRUE,"post_clearing_any",475,176,"Short-term","Binary (any)"," EE","Available",1
"fixed",NA,"int_avail_bin_FE_1",-0.0208227172094296,0.0739181452311759,-0.281699671228321,TRUE,"post_clearing_any",125,73,"Short-term","Binary (any)"," FE","Available",1
"fixed",NA,"int_avail_bin_NCLE_1",0.0602823679392203,0.0467769033345243,1.28872079256961,TRUE,"post_clearing_any",275,157,"Short-term","Binary (any)"," NCLE","Available",1
"fixed",NA,"int_avail_bin_RFAC_1",-0.0587581828004029,0.0688919881851986,-0.85290299130933,TRUE,"post_clearing_any",155,71,"Short-term","Binary (any)"," RFAC","Available",1
"fixed",NA,"int_avail_bin_TC_1",0.13904551025905,0.0649995169078807,2.13917759505981,TRUE,"post_clearing_any",204,48,"Short-term","Binary (any)"," TC","Available",1
"fixed",NA,"int_avail_bin_OI_1",-0.0688792131461536,0.0710231621562618,-0.969813382775168,TRUE,"post_clearing_any",199,103,"Short-term","Binary (any)"," OI","Available",1
"fixed",NA,"int_invol_bin_CLE_1",0.11053239953419,0.0579781952953964,1.90644774248374,TRUE,"post_clearing_any",160,117,"Short-term","Binary (any)"," CLE","Involved",1
"fixed",NA,"int_invol_bin_EE_1",0.0668147630166777,0.0468801566463336,1.42522482424135,TRUE,"post_clearing_any",218,162,"Short-term","Binary (any)"," EE","Involved",1
"fixed",NA,"int_invol_bin_FE_1",-0.110244355782297,0.102621728763269,-1.07427887944289,TRUE,"post_clearing_any",54,40,"Short-term","Binary (any)"," FE","Involved",1
"fixed",NA,"int_invol_bin_NCLE_1",-0.0272156778904571,0.0552684023606925,-0.492427440055934,TRUE,"post_clearing_any",155,107,"Short-term","Binary (any)"," NCLE","Involved",1
"fixed",NA,"int_invol_bin_RFAC_1",-0.198108857774914,0.115867755229985,-1.70978420511979,TRUE,"post_clearing_any",31,27,"Short-term","Binary (any)"," RFAC","Involved",1
"fixed",NA,"int_invol_bin_TC_1",-0.0301896827810472,0.0540152932839681,-0.558909911352969,TRUE,"post_clearing_any",118,82,"Short-term","Binary (any)"," TC","Involved",1
"fixed",NA,"int_invol_bin_OI_1",-0.147389038874437,0.0696139929139891,-2.11723293988526,TRUE,"post_clearing_any",147,103,"Short-term","Binary (any)"," OI","Involved",1
"fixed",NA,"int_chnge_bin_CLE_1",0.164817809606182,0.0886840899691116,1.85848227865435,TRUE,"post_clearing_any",59,45,"Short-term","Binary (any)"," CLE","Changed behavior",1
"fixed",NA,"int_chnge_bin_EE_1",0.143112672867961,0.0961594762447748,1.4882846543763,TRUE,"post_clearing_any",53,46,"Short-term","Binary (any)"," EE","Changed behavior",1
"fixed",NA,"int_chnge_bin_FE_1",-0.1739683427982,0.161325552362248,-1.07836818316024,TRUE,"post_clearing_any",20,17,"Short-term","Binary (any)"," FE","Changed behavior",1
"fixed",NA,"int_chnge_bin_NCLE_1",0.0356620266265692,0.0727081696423649,0.490481699676703,TRUE,"post_clearing_any",77,66,"Short-term","Binary (any)"," NCLE","Changed behavior",1
"fixed",NA,"int_chnge_bin_RFAC_1",0.0456249999075682,0.189518650640137,0.240741477176313,TRUE,"post_clearing_any",13,11,"Short-term","Binary (any)"," RFAC","Changed behavior",1
"fixed",NA,"int_chnge_bin_TC_1",-0.00547618785570579,0.164949458580144,-0.0331991866044535,TRUE,"post_clearing_any",17,17,"Short-term","Binary (any)"," TC","Changed behavior",1
"fixed",NA,"int_chnge_bin_OI_1",0.0390051702423727,0.110314658787438,0.35358102604959,TRUE,"post_clearing_any",46,41,"Short-term","Binary (any)"," OI","Changed behavior",1
"fixed",NA,"int_avail_sum_CLE_1",0.144237618348671,0.0602131416981794,2.39545079829363,TRUE,"post_clearing_any",208,125,"Short-term","Count (sum)"," CLE","Available",1
"fixed",NA,"int_avail_sum_EE_1",-0.0252744729450702,0.0408793913322292,-0.618269306890191,TRUE,"post_clearing_any",459,179,"Short-term","Count (sum)"," EE","Available",1
"fixed",NA,"int_avail_sum_FE_1",-0.0208227172094296,0.0739181452311759,-0.281699671228321,TRUE,"post_clearing_any",125,73,"Short-term","Count (sum)"," FE","Available",1
"fixed",NA,"int_avail_sum_NCLE_1",-0.00244310149833955,0.0653019519644196,-0.0374123808683498,TRUE,"post_clearing_any",93,77,"Short-term","Count (sum)"," NCLE","Available",1
"fixed",NA,"int_avail_sum_NCLE_2",0.0285713314442368,0.0562192571465783,0.508212539517267,TRUE,"post_clearing_any",136,85,"Short-term","Count (sum)"," NCLE","Available",2
"fixed",NA,"int_avail_sum_NCLE_3",0.015222953540578,0.115006073977201,0.132366517820579,TRUE,"post_clearing_any",45,34,"Short-term","Count (sum)"," NCLE","Available",3
"fixed",NA,"int_avail_sum_NCLE_4",0.0428240740740738,0.0581303047945844,0.736691029324578,TRUE,"post_clearing_any",32,27,"Short-term","Count (sum)"," NCLE","Available",4
"fixed",NA,"int_avail_sum_NCLE_5",0.0873015873015815,0.0657381711358471,1.32801971507808,TRUE,"post_clearing_any",63,36,"Short-term","Count (sum)"," NCLE","Available",5
"fixed",NA,"int_avail_sum_RFAC_1",-0.0689411849593898,0.0701604234276133,-0.982622133552523,TRUE,"post_clearing_any",154,68,"Short-term","Count (sum)"," RFAC","Available",1
"fixed",NA,"int_avail_sum_TC_1",0.13904551025905,0.0649995169078807,2.13917759505981,TRUE,"post_clearing_any",204,48,"Short-term","Count (sum)"," TC","Available",1
"fixed",NA,"int_avail_sum_OI_1",-0.138195328595914,0.0704785610159454,-1.96081370850702,TRUE,"post_clearing_any",163,81,"Short-term","Count (sum)"," OI","Available",1
"fixed",NA,"int_avail_sum_OI_2",0.0305429864253397,0.0875898992016363,0.348704436284693,TRUE,"post_clearing_any",85,52,"Short-term","Count (sum)"," OI","Available",2
"fixed",NA,"int_invol_sum_CLE_1",0.0817133734544539,0.0587664117024894,1.39047750385264,TRUE,"post_clearing_any",153,112,"Short-term","Count (sum)"," CLE","Involved",1
"fixed",NA,"int_invol_sum_EE_1",0.0118458135645167,0.0478157580884167,0.247738696155616,TRUE,"post_clearing_any",213,163,"Short-term","Count (sum)"," EE","Involved",1
"fixed",NA,"int_invol_sum_FE_1",-0.110244355782297,0.102621728763269,-1.07427887944289,TRUE,"post_clearing_any",54,40,"Short-term","Count (sum)"," FE","Involved",1
"fixed",NA,"int_invol_sum_NCLE_1",0.0447355884159442,0.0618869879194007,0.722859358969063,TRUE,"post_clearing_any",99,79,"Short-term","Count (sum)"," NCLE","Involved",1
"fixed",NA,"int_invol_sum_NCLE_2",0.00845178212509818,0.0703276811059193,0.120177176215566,TRUE,"post_clearing_any",59,47,"Short-term","Count (sum)"," NCLE","Involved",2
"fixed",NA,"int_invol_sum_NCLE_3",0.133333333333333,0.0878652747870851,1.51747472088861,TRUE,"post_clearing_any",16,15,"Short-term","Count (sum)"," NCLE","Involved",3
"fixed",NA,"int_invol_sum_NCLE_4",0.0494755243274196,0.134108914645321,0.368920473767668,TRUE,"post_clearing_any",13,12,"Short-term","Count (sum)"," NCLE","Involved",4
"fixed",NA,"int_invol_sum_NCLE_5",-0.2,0.133333333333333,-1.5,TRUE,"post_clearing_any",10,10,"Short-term","Count (sum)"," NCLE","Involved",5
"fixed",NA,"int_invol_sum_RFAC_1",-0.198108857774914,0.115867755229985,-1.70978420511979,TRUE,"post_clearing_any",31,27,"Short-term","Count (sum)"," RFAC","Involved",1
"fixed",NA,"int_invol_sum_TC_1",-0.0301896827810472,0.0540152932839681,-0.558909911352969,TRUE,"post_clearing_any",118,82,"Short-term","Count (sum)"," TC","Involved",1
"fixed",NA,"int_invol_sum_OI_1",-0.127608821875983,0.0734770400413718,-1.73671696361383,TRUE,"post_clearing_any",128,91,"Short-term","Count (sum)"," OI","Involved",1
"fixed",NA,"int_invol_sum_OI_2",0.00914634146341418,0.115463712115584,0.0792139910958196,TRUE,"post_clearing_any",41,32,"Short-term","Count (sum)"," OI","Involved",2
"fixed",NA,"int_chnge_sum_CLE_1",0.0250622388430084,0.089726954551599,0.279316722252018,TRUE,"post_clearing_any",53,43,"Short-term","Count (sum)"," CLE","Changed behavior",1
"fixed",NA,"int_chnge_sum_EE_1",0.143112672867961,0.0961594762447748,1.4882846543763,TRUE,"post_clearing_any",53,46,"Short-term","Count (sum)"," EE","Changed behavior",1
"fixed",NA,"int_chnge_sum_FE_1",-0.1739683427982,0.161325552362248,-1.07836818316024,TRUE,"post_clearing_any",20,17,"Short-term","Count (sum)"," FE","Changed behavior",1
"fixed",NA,"int_chnge_sum_NCLE_1",-0.00676125693738946,0.0732023549555131,-0.0923639265635435,TRUE,"post_clearing_any",75,66,"Short-term","Count (sum)"," NCLE","Changed behavior",1
"fixed",NA,"int_chnge_sum_NCLE_2",0.0476190467286537,0.189281970503673,0.251577298154394,TRUE,"post_clearing_any",5,5,"Short-term","Count (sum)"," NCLE","Changed behavior",2
"fixed",NA,"int_chnge_sum_RFAC_1",0.0456249999075682,0.189518650640137,0.240741477176313,TRUE,"post_clearing_any",13,11,"Short-term","Count (sum)"," RFAC","Changed behavior",1
"fixed",NA,"int_chnge_sum_TC_1",-0.00547618785570579,0.164949458580144,-0.0331991866044535,TRUE,"post_clearing_any",17,17,"Short-term","Count (sum)"," TC","Changed behavior",1
"fixed",NA,"int_chnge_sum_OI_1",-0.0777701334195703,0.117673018075032,-0.660900304010066,TRUE,"post_clearing_any",45,40,"Short-term","Count (sum)"," OI","Changed behavior",1
"fixed",NA,"int_cat_tot_availALL_1",0.0390704787972372,0.0363661946146782,1.07436258347106,TRUE,"post_clearing_any",386,191,"Short-term","Count (sum)","Total","Available",1
"fixed",NA,"int_cat_tot_availALL_2",-0.181403753328041,0.0487782468836405,-3.71894778754096,TRUE,"post_clearing_any",241,161,"Short-term","Count (sum)","Total","Available",2
"fixed",NA,"int_cat_tot_availALL_3",0.0395808715230494,0.0557034314516316,0.710564331344977,TRUE,"post_clearing_any",161,116,"Short-term","Count (sum)","Total","Available",3
"fixed",NA,"int_cat_tot_availALL_4",0.0736181217141742,0.0418792913498559,1.75786455169872,TRUE,"post_clearing_any",179,114,"Short-term","Count (sum)","Total","Available",4
"fixed",NA,"int_cat_tot_availALL_5",-0.0392029837579139,0.0444589755227933,-0.881778837612108,TRUE,"post_clearing_any",193,159,"Short-term","Count (sum)","Total","Available",5
"fixed",NA,"int_cat_tot_availALL_6",-0.0558665047665199,0.0451909165106155,-1.2362330547865,TRUE,"post_clearing_any",291,131,"Short-term","Count (sum)","Total","Available",6
"fixed",NA,"int_cat_tot_availALL_7",-0.112252142705125,0.065660987680069,-1.70957134017035,TRUE,"post_clearing_any",210,89,"Short-term","Count (sum)","Total","Available",7
"fixed",NA,"int_cat_tot_availALL_8",0.0631444540928107,0.0640997133640865,0.985097292622044,TRUE,"post_clearing_any",145,74,"Short-term","Count (sum)","Total","Available",8
"fixed",NA,"int_cat_pos_availALL_1",-0.0356789867383664,0.0388960894899496,-0.917289815151869,TRUE,"post_clearing_any",374,160,"Short-term","Count (sum)","Positive","Available",1
"fixed",NA,"int_cat_pos_availALL_2",-0.0385685378854858,0.0370399379578283,-1.04126896566074,TRUE,"post_clearing_any",401,190,"Short-term","Count (sum)","Positive","Available",2
"fixed",NA,"int_cat_pos_availALL_3",-0.119002114882919,0.0438216934715885,-2.71559826778655,TRUE,"post_clearing_any",242,162,"Short-term","Count (sum)","Positive","Available",3
"fixed",NA,"int_cat_pos_availALL_4",0.0333333333333335,0.0575885530417412,0.578818733458591,TRUE,"post_clearing_any",40,36,"Short-term","Count (sum)","Positive","Available",4
"fixed",NA,"int_cat_pos_availALL_6",0.208333333333347,0.204094819535204,1.02076737571191,TRUE,"post_clearing_any",168,33,"Short-term","Count (sum)","Positive","Available",6
"fixed",NA,"int_cat_ena_availALL_1",-0.0459997717275929,0.0357905996637136,-1.28524730403525,TRUE,"post_clearing_any",437,212,"Short-term","Count (sum)","Enabling","Available",1
